sheet_name,table_name,date,value,frequency,time_period_description,average_sales_2022,note_ref,dataset_code
Table 5,Index numbers of sales per week - Monthly,2009 Aug,55.0,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2009 Aug,70.1,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2009 Aug,52.9,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2009 Sep,62.5,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2009 Sep,67.6,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2009 Sep,58.2,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2009 Sep,70.5,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2009 Sep,51.6,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2009 Oct,65.6,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2009 Oct,68.3,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2009 Oct,62.6,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2009 Oct,77.5,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2009 Oct,55.0,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2009 Nov,72.1,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2009 Nov,71.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2009 Nov,66.9,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2009 Nov,88.9,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2009 Nov,65.6,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2009 Dec,83.4,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2009 Dec,78.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2009 Dec,81.3,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2009 Dec,101.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2009 Dec,80.3,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Jan,58.2,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Jan,65.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Jan,51.2,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Jan,69.0,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Jan,44.7,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Feb,60.1,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Feb,67.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Feb,50.7,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Feb,68.2,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Feb,49.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Mar,63.0,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Mar,70.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Mar,55.8,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Mar,69.8,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Mar,51.8,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Apr,63.4,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Apr,69.2,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Apr,58.5,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Apr,68.5,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Apr,53.9,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 May,64.9,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 May,71.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 May,60.3,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 May,67.9,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 May,55.4,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Jun,65.3,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Jun,72.3,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Jun,61.8,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Jun,66.2,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Jun,55.9,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Jul,65.8,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Jul,70.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Jul,62.9,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Jul,69.7,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Jul,57.7,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Aug,64.3,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Aug,69.1,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Aug,59.4,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Aug,70.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Aug,56.0,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Sep,64.0,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Sep,68.2,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Sep,62.6,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Sep,70.4,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Sep,53.8,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Oct,67.2,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Oct,69.7,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Oct,67.4,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Oct,75.0,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Oct,57.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Nov,74.0,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Nov,72.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Nov,72.4,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Nov,82.9,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Nov,71.4,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2010 Dec,85.0,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2010 Dec,79.1,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2010 Dec,88.1,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2010 Dec,92.8,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2010 Dec,86.9,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Jan,61.7,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Jan,65.9,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Jan,56.1,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Jan,70.7,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Jan,52.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Feb,61.9,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Feb,68.7,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Feb,52.5,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Feb,65.9,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Feb,54.7,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Mar,63.7,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Mar,70.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Mar,56.8,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Mar,64.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Mar,57.1,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Apr,67.7,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Apr,75.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Apr,66.0,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Apr,64.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Apr,59.6,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 May,66.2,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 May,72.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 May,62.0,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 May,65.1,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 May,59.8,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Jun,66.7,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Jun,73.2,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Jun,64.5,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Jun,64.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Jun,59.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Jul,67.6,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Jul,73.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Jul,65.5,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Jul,66.4,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Jul,60.3,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Aug,65.8,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Aug,72.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Aug,61.3,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Aug,65.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Aug,58.3,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Sep,66.3,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Sep,71.7,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Sep,64.7,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Sep,67.8,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Sep,57.7,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Oct,69.7,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Oct,73.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Oct,68.9,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Oct,73.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Oct,62.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Nov,75.8,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Nov,75.3,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Nov,75.1,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Nov,83.4,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Nov,71.9,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2011 Dec,90.6,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2011 Dec,85.1,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2011 Dec,98.0,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2011 Dec,94.1,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2011 Dec,91.6,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Jan,63.0,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Jan,68.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Jan,57.0,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Jan,70.6,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Jan,52.9,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Feb,63.5,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Feb,72.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Feb,54.2,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Feb,65.4,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Feb,54.2,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Mar,67.0,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Mar,73.6,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Mar,62.6,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Mar,66.0,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Mar,60.0,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Apr,67.5,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Apr,74.8,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Apr,62.8,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Apr,68.8,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Apr,58.1,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 May,68.4,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 May,75.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 May,64.6,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 May,68.1,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 May,60.0,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Jun,69.1,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Jun,75.8,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Jun,66.7,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Jun,66.6,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Jun,61.9,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Jul,69.5,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Jul,75.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Jul,68.6,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Jul,68.7,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Jul,61.4,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Aug,67.8,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Aug,74.7,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Aug,63.1,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Aug,66.6,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Aug,60.6,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Sep,68.4,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Sep,73.6,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Sep,68.5,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Sep,68.9,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Sep,59.3,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Oct,71.0,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Oct,74.3,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Oct,70.2,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Oct,73.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Oct,64.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Nov,77.5,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Nov,77.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Nov,74.6,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Nov,87.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Nov,73.1,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2012 Dec,92.2,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2012 Dec,86.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2012 Dec,99.1,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2012 Dec,99.8,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2012 Dec,91.2,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Jan,63.9,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Jan,70.5,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Jan,58.7,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Jan,72.1,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Jan,51.4,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Feb,65.8,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Feb,73.8,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Feb,57.0,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Feb,69.1,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Feb,57.0,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Mar,68.3,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Mar,77.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Mar,61.9,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Mar,67.8,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Mar,58.7,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Apr,67.7,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Apr,74.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Apr,63.7,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Apr,68.3,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Apr,59.8,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 May,70.8,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 May,78.1,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 May,67.4,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 May,69.7,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 May,62.1,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Jun,71.7,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Jun,78.4,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Jun,71.3,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Jun,68.6,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Jun,63.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Jul,72.6,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Jul,80.3,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Jul,71.1,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Jul,69.4,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Jul,63.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Aug,69.9,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Aug,77.2,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Aug,67.6,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Aug,68.6,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Aug,60.8,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Sep,71.1,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Sep,75.8,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Sep,71.4,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Sep,72.1,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Sep,62.7,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Oct,73.5,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Oct,77.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Oct,73.3,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Oct,76.7,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Oct,65.5,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Nov,80.5,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Nov,80.0,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Nov,81.7,monthly,Clothing and footwear,,,EAWO
Table 5,Index numbers of sales per week - Monthly,2013 Nov,86.7,monthly,Household goods,,Note 3,EAWP
Table 5,Index numbers of sales per week - Monthly,2013 Nov,76.2,monthly,Other non-food,,Note 3,EAWQ
Table 5,Index numbers of sales per week - Monthly,2013 Dec,96.6,monthly,Total excluding fuel,,,J43S
Table 5,Index numbers of sales per week - Monthly,2013 Dec,89.9,monthly,"Food, drink and tobacco",,Note 3,EAWN
Table 5,Index numbers of sales per week - Monthly,2013 Dec,104.5,monthly,Clothing and footwear,,,EAWO
